id,user_id,datos,updated_at
03aeaee1-d9b4-4a12-a1ae-9cdee0e53eb8,eacef9b8-ebf6-4e01-bf9a-b6ecd80d49e7,"{""lunes"":[{""id"":""242sm8kmu"",""aula"":"""",""color"":""#f472b6"",""nombre"":""buisness"",""horaFin"":""08:30"",""profesor"":""Hermes chewin "",""horaInicio"":""07:45""}],""jueves"":[],""martes"":[],""viernes"":[],""miercoles"":[]}",2026-04-27 22:53:11.578
1b2c52a0-d606-43ef-9e28-e8bc53de040d,3bf673d4-e9d9-4fe6-b1bf-5bc8c288f241,"{""lunes"":[{""id"":""88psna730"",""aula"":"""",""color"":""#f5c842"",""nombre"":""Biofísica lab"",""horaFin"":""15:00"",""profesor"":"""",""horaInicio"":""12:45""},{""id"":""pj45yrgw9"",""aula"":"""",""color"":""#f5c842"",""nombre"":""biologia lab"",""horaFin"":""17:30"",""profesor"":"""",""horaInicio"":""15:15""}],""jueves"":[{""id"":""8zpobd0i7"",""aula"":"""",""color"":""#f5c842"",""nombre"":""quimica"",""horaFin"":""12:15"",""profesor"":"""",""horaInicio"":""10:00""},{""id"":""dqi6nv2ei"",""aula"":"""",""color"":""#f5c842"",""nombre"":""Biofísica lab"",""horaFin"":""15:00"",""profesor"":"""",""horaInicio"":""12:45""}],""martes"":[{""id"":""yb3vr95l1"",""aula"":"""",""color"":""#f5c842"",""nombre"":""Biologia mol y cel"",""horaFin"":""09:45"",""profesor"":"""",""horaInicio"":""07:30""},{""id"":""kjnulj115"",""aula"":"""",""color"":""#f5c842"",""nombre"":""Biologia mol y del lab"",""horaFin"":""12:45"",""profesor"":"""",""horaInicio"":""10:00""}],""viernes"":[],""miercoles"":[{""id"":""24li43lkq"",""aula"":"""",""color"":""#a78bfa"",""nombre"":""Quimica lab"",""horaFin"":""09:45"",""profesor"":"""",""horaInicio"":""07:30""},{""id"":""bjszdba58"",""aula"":"""",""color"":""#f5c842"",""nombre"":""Biofisica"",""horaFin"":""12:45"",""profesor"":"""",""horaInicio"":""10:00""}]}",2026-04-15 22:09:02.13
28ac496c-68a1-4ed3-a5ea-ed3ed57283f6,445e1eca-a7e4-48f2-9732-33f76efc50d1,"{""lunes"":[{""id"":""acwjizdj7"",""aula"":""Lab 3"",""color"":""#f5c842"",""nombre"":""Biofisica Lab"",""horaFin"":""15:00"",""profesor"":"""",""horaInicio"":""12:45""},{""id"":""03mpbo1o5"",""aula"":""Lab 3"",""color"":""#4ade80"",""nombre"":""Biologia Celular y Molecular"",""horaFin"":""17:30"",""profesor"":"""",""horaInicio"":""15:15""}],""jueves"":[{""id"":""ptwtkm8z2"",""aula"":"""",""color"":""#f472b6"",""nombre"":""Quimica Inorganica Teoria"",""horaFin"":""12:15"",""profesor"":"""",""horaInicio"":""10:00""},{""id"":""42r2re9uk"",""aula"":"""",""color"":""#f5c842"",""nombre"":""Biofisica Lab"",""horaFin"":""15:00"",""profesor"":"""",""horaInicio"":""12:45""}],""martes"":[{""id"":""659q2r4ai"",""aula"":""622"",""color"":""#38bdf8"",""nombre"":""Biologia Celular y Molecular Teoria"",""horaFin"":""09:45"",""profesor"":"""",""horaInicio"":""07:30""},{""id"":""5bu2m8lrr"",""aula"":""Lab 3"",""color"":""#4ade80"",""nombre"":""Biologia Celular y Molecular"",""horaFin"":""12:15"",""profesor"":"""",""horaInicio"":""10:00""}],""viernes"":[],""miercoles"":[{""id"":""60cn31xze"",""aula"":""Lab"",""color"":""#a78bfa"",""nombre"":""Quimica Inorganica"",""horaFin"":""09:45"",""profesor"":"""",""horaInicio"":""07:30""},{""id"":""cvznndnsm"",""aula"":"""",""color"":""#f5c842"",""nombre"":""Biofisica Teoria"",""horaFin"":""12:15"",""profesor"":"""",""horaInicio"":""10:00""}]}",2026-04-13 17:49:07.813
513d4c6e-873b-49e4-aef5-0813c63ccbf9,0a4d17e6-babd-4459-99a6-1f343f1f2656,"{""lunes"":[],""jueves"":[{""id"":""oif1v5n1j"",""aula"":"""",""color"":""#f5c842"",""nombre"":""ejercicio geo anal"",""horaFin"":""09:00"",""profesor"":"""",""horaInicio"":""08:00""}],""martes"":[],""viernes"":[{""id"":""4wuuq6u8w"",""aula"":"""",""color"":""#f5c842"",""nombre"":""fisisca"",""horaFin"":""09:00"",""profesor"":"""",""horaInicio"":""08:00""}],""miercoles"":[]}",2026-05-17 21:31:24.47
71f5ac9b-bccb-43d9-9b79-e7a60013a369,a0d6c472-efcc-44c4-8659-d5e59d7afae6,"{""lunes"":[{""id"":""8uxon7dsp"",""aula"":""701"",""color"":""#f5c842"",""nombre"":""Química teoría"",""horaFin"":""09:45"",""profesor"":""Kenia Palma"",""horaInicio"":""07:30""},{""id"":""v3j4mdb6y"",""aula"":"""",""color"":""#ff4d6d"",""nombre"":""Química lab"",""horaFin"":""12:15"",""profesor"":""Oris olmedo / Marjorie Sanchez"",""horaInicio"":""10:00""}],""jueves"":[{""id"":""0uo7rt7c9"",""aula"":""710"",""color"":""#fb923c"",""nombre"":""Biología Molecular y Celular Teoría"",""horaFin"":""09:45"",""profesor"":""María F. Alves"",""horaInicio"":""07:30""}],""martes"":[{""id"":""cv0ottant"",""aula"":""711"",""color"":""#38bdf8"",""nombre"":""Biofisica Teoria"",""horaFin"":""09:45"",""profesor"":""Samuel Ortega"",""horaInicio"":""07:30""},{""id"":""dhmnwgg74"",""aula"":"""",""color"":""#f472b6"",""nombre"":""Biofisica lab"",""horaFin"":""12:15"",""profesor"":""Samuel Ortega"",""horaInicio"":""10:00""},{""id"":""xdehks7b5"",""aula"":"""",""color"":""#4ade80"",""nombre"":""Biologia lab"",""horaFin"":""15:00"",""profesor"":""Fulvia / lorena"",""horaInicio"":""12:45""}],""viernes"":[{""id"":""6jlrfsjrt"",""aula"":"""",""color"":""#a78bfa"",""nombre"":""Biología Molecular y Celular Lab"",""horaFin"":""09:45"",""profesor"":""Fulvia / Lorena"",""horaInicio"":""07:30""},{""id"":""u7pqdqrle"",""aula"":"""",""color"":""#e879f9"",""nombre"":""Biofísica Lab"",""horaFin"":""12:15"",""profesor"":""Samuel Ortega"",""horaInicio"":""10:00""}],""miercoles"":[]}",2026-04-29 16:45:20.274
7784fd85-2d60-4566-87d3-e8fa49ec4470,8d6bcea5-8680-44e0-930c-c6f7109df6a2,"{""lunes"":[{""id"":""yg3xc9tlh"",""aula"":"""",""color"":""#f5c842"",""nombre"":""Bio"",""horaFin"":""09:45"",""profesor"":"""",""horaInicio"":""07:30""},{""id"":""vf2f52kv4"",""aula"":"""",""color"":""#f5c842"",""nombre"":""Biofisica LAB"",""horaFin"":""15:00"",""profesor"":"""",""horaInicio"":""12:45""}],""jueves"":[{""id"":""o7dfmtds1"",""aula"":"""",""color"":""#f5c842"",""nombre"":""Bio LAB"",""horaFin"":""09:45"",""profesor"":"""",""horaInicio"":""07:30""},{""id"":""lx8g9gzwr"",""aula"":"""",""color"":""#f5c842"",""nombre"":""Quimica"",""horaFin"":""12:00"",""profesor"":"""",""horaInicio"":""10:00""},{""id"":""99cxx8q4m"",""aula"":"""",""color"":""#f5c842"",""nombre"":""Biofisica LAB "",""horaFin"":""15:00"",""profesor"":"""",""horaInicio"":""12:45""}],""martes"":[{""id"":""4zgrctq44"",""aula"":""702"",""color"":""#f5c842"",""nombre"":""Bio"",""horaFin"":""08:45"",""profesor"":"""",""horaInicio"":""07:30""}],""viernes"":[],""miercoles"":[{""id"":""24et40qi4"",""aula"":"""",""color"":""#f5c842"",""nombre"":""Quimica"",""horaFin"":""09:45"",""profesor"":"""",""horaInicio"":""07:30""},{""id"":""0f3ax1zxt"",""aula"":"""",""color"":""#f5c842"",""nombre"":""Biofisica"",""horaFin"":""12:00"",""profesor"":"""",""horaInicio"":""10:00""}]}",2026-04-21 14:15:07.006
915f553e-e3b1-4a42-bcb0-0d556e1f4a97,84a3c792-adfe-4338-8131-e318333b6676,"{""lunes"":[{""id"":""6fjkdmpj6"",""aula"":""lab 2"",""color"":""#f5c842"",""nombre"":""biologia lab"",""horaFin"":""17:30"",""profesor"":"""",""horaInicio"":""15:15""}],""jueves"":[],""martes"":[],""viernes"":[],""miercoles"":[]}",2026-04-27 20:43:53.253
9ba0e084-8fbc-4bbc-98cc-a8eab7651764,c17eda77-4de0-405c-bc21-6bedde30e162,"{""lunes"":[{""id"":""geki9tl56"",""aula"":"""",""color"":""#f5c842"",""nombre"":""bbbb"",""horaFin"":""09:00"",""profesor"":"""",""horaInicio"":""08:00""}],""jueves"":[],""martes"":[],""viernes"":[],""miercoles"":[]}",2026-04-18 21:24:38.899
ac9f69fc-04a2-411f-a01c-77a9d5ccd16d,2189b278-175b-4617-a07e-0e02cd5f2692,"{""lunes"":[{""id"":""gw2lfrry4"",""aula"":""Lab poli1"",""color"":""#a78bfa"",""nombre"":""Biologuia molecular y celular (lab)"",""horaFin"":""09:45"",""profesor"":"""",""horaInicio"":""07:30""},{""id"":""3mhpgb0j3"",""aula"":""Poli 2 lab"",""color"":""#a78bfa"",""nombre"":""Biofisica(lab)"",""horaFin"":""15:00"",""profesor"":""Samuel"",""horaInicio"":""12:45""}],""jueves"":[{""id"":""nb3ig02ne"",""aula"":""Poli 1 lab"",""color"":""#f472b6"",""nombre"":""Biologuia molecular y celular lab"",""horaFin"":""09:45"",""profesor"":"""",""horaInicio"":""07:30""},{""id"":""xzmp9m6nc"",""aula"":""622 o 701"",""color"":""#f472b6"",""nombre"":""Quimica teoria"",""horaFin"":""12:15"",""profesor"":"""",""horaInicio"":""10:00""},{""id"":""7fed51zg6"",""aula"":"" Poli 2 "",""color"":""#f472b6"",""nombre"":""Biofisifa lab"",""horaFin"":""15:00"",""profesor"":""Samule"",""horaInicio"":""12:45""}],""martes"":[{""id"":""37eks7ncg"",""aula"":""622 o 702"",""color"":""#f5c842"",""nombre"":""Biologuia teori"",""horaFin"":""09:45"",""profesor"":"""",""horaInicio"":""07:30""}],""viernes"":[],""miercoles"":[{""id"":""8wf3047fh"",""aula"":""Poli 2 lab"",""color"":""#38bdf8"",""nombre"":""Quimica inorgonaca lab"",""horaFin"":""09:45"",""profesor"":"""",""horaInicio"":""07:30""},{""id"":""33a53zq6r"",""aula"":""701"",""color"":""#38bdf8"",""nombre"":""Biofisica teoria"",""horaFin"":""12:15"",""profesor"":""Samuel"",""horaInicio"":""10:00""}]}",2026-04-21 14:25:30.62
