id,user_id,tema_id,materia_id,nombre,extension,mime_type,size_bytes,storage_key,kind,upload_status,text_status,extracted_chars,pages_count,content_hash,last_error,created_at,updated_at
mat_177933345005936ysyh,445e1eca-a7e4-48f2-9732-33f76efc50d1,17785407706400dcntiz4l,1778388370538y2axwkew8,AdvanceLogicFirma.pdf,pdf,application/pdf,1174822,materials/445e1eca-a7e4-48f2-9732-33f76efc50d1/mat_177933345005936ysyh/source.pdf,pdf,uploaded,ready,9767,,,,2026-05-21 03:17:33.077931+00,2026-05-21 03:17:59.676717+00
mat_1779334566812mp0ypr,445e1eca-a7e4-48f2-9732-33f76efc50d1,17785407706400dcntiz4l,1778388370538y2axwkew8,Introduccion a la materia.pdf,pdf,application/pdf,2427547,materials/445e1eca-a7e4-48f2-9732-33f76efc50d1/mat_1779334566812mp0ypr/source.pdf,pdf,uploaded,ready,13505,19,,,2026-05-21 03:36:09.841072+00,2026-05-21 03:36:34.377016+00
mat_17794147739974qxtvl,445e1eca-a7e4-48f2-9732-33f76efc50d1,17785407706400dcntiz4l,1778388370538y2axwkew8,Abetalipoproteinemia.pdf,pdf,application/pdf,13252722,materials/445e1eca-a7e4-48f2-9732-33f76efc50d1/mat_17794147739974qxtvl/source.pdf,pdf,uploaded,pending,0,,,,2026-05-22 01:52:54.2964+00,2026-05-22 01:52:54.2964+00
mat_1779467276854msrcxq,445e1eca-a7e4-48f2-9732-33f76efc50d1,17785407706400dcntiz4l,1778388370538y2axwkew8,gemini-3.1-flash-image-preview (nano-banana-2) [web-search]_a_Haz_q_lo_de_adentro_.png,png,image/png,825489,materials/445e1eca-a7e4-48f2-9732-33f76efc50d1/mat_1779467276854msrcxq/source.png,image,uploaded,pending,0,,,,2026-05-22 16:27:57.056756+00,2026-05-22 16:27:57.056756+00
mat_1779860508959306z7x,0a4d17e6-babd-4459-99a6-1f343f1f2656,1779839836085ofuybuq1l,17764025095649te4sf0t4,Presentación-El+Barroco+Español-AIP.pdf,pdf,application/pdf,3140110,materials/0a4d17e6-babd-4459-99a6-1f343f1f2656/mat_1779860508959306z7x/source.pdf,pdf,uploaded,ready,7683,10,,,2026-05-27 05:41:48.985257+00,2026-05-27 05:43:06.531623+00
mat_17799318137666tx6ll,445e1eca-a7e4-48f2-9732-33f76efc50d1,17785407706400dcntiz4l,1778388370538y2axwkew8,falcons.pdf,pdf,application/pdf,63604,materials/445e1eca-a7e4-48f2-9732-33f76efc50d1/mat_17799318137666tx6ll/source.pdf,pdf,uploaded,ready,7118,2,,,2026-05-28 01:30:13.961052+00,2026-05-28 01:31:07.077475+00
mat_17799318140449ezkfk,445e1eca-a7e4-48f2-9732-33f76efc50d1,17785407706400dcntiz4l,1778388370538y2axwkew8,Abetalipoproteinemia.pdf,pdf,application/pdf,13252722,materials/445e1eca-a7e4-48f2-9732-33f76efc50d1/mat_17799318140449ezkfk/source.pdf,pdf,uploaded,ready,7210,,,,2026-05-28 01:30:14.233988+00,2026-05-28 01:31:36.161191+00
